Vp,Bulk,MS,Porosity,Resistivity,Species
3926.56,2.44,1387.4,13,0.94,CorAlg
3999.38,2.44,1454,13,0.99,CorAlg
4024.47,2.47,1583.9,11,1.02,CorAlg
4154.79,2.48,1674.8,10,0.99,CorAlg
4236.46,2.54,1679.5,7,0.91,CorAlg
4278.19,2.53,1641.9,8,0.86,CorAlg
4178.62,2.48,1585.4,11,0.9,CorAlg
4058.27,2.44,1505.1,13,0.96,CorAlg
3958,2.38,1431.5,17,0.97,CorAlg
3873.64,2.36,1347.7,18,0.92,CorAlg
3921.05,2.45,1254.4,12,0.89,CorAlg
3933.09,2.38,1134.9,17,0.89,CorAlg
3782.17,2.35,974.1,18,0.88,CorAlg
4020.64,2.46,1590.2,11,0.9,CorAlg
4178.04,2.5,1851.6,9,0.95,CorAlg
4233.71,2.51,2088.1,9,1.05,CorAlg
4125.72,2.47,2276.9,11,1.09,CorAlg
4179.34,2.53,2413.2,7,1.04,CorAlg
4290.86,2.54,2495.4,7,0.98,CorAlg
4348.88,2.56,2512.1,5,0.97,CorAlg
3950.74,2.4,1575.1,16,0.63,CorAlg
3887.81,2.38,1559,16,0.7,CorAlg
3895.99,2.37,1449.6,17,0.78,CorAlg
4043.07,2.46,1027.1,12,0.64,CorAlg
3942.56,2.4,971.6,16,0.64,CorAlg
3955.39,2.44,853.7,13,0.51,CorAlg
4217.31,2.53,789.2,8,0.51,CorAlg
4377.66,2.47,724.5,11,0.58,CorAlg
4183.13,2.36,711.4,18,0.71,CorAlg
4090.44,2.42,850.9,14,0.56,CorAlg
3987.49,2.3,856.1,22,0.55,CorAlg
3988.74,2.45,870.4,13,0.56,CorAlg
3903.31,2.38,877.2,17,0.57,CorAlg
3917.13,2.36,859.7,18,0.58,CorAlg
3917.13,2.42,838.5,14,0.57,CorAlg
3928.57,2.42,837.5,14,0.62,CorAlg
3835.34,2.41,811.5,15,0.7,CorAlg
3931.03,2.43,811.4,13,0.62,CorAlg
